======================================================================
  REGISTRO DE REQUESTS - NinoEdu API
  Data/hora : 22/08/2026, 14:54:08
  Formato   : Rodada | Execucao | Itens retornados
======================================================================

----------------------------------------------------------------------
  CATEGORIA: Silabas - Vogal A
----------------------------------------------------------------------
Rodada 001 | Execucao 1 | Itens: [ZA, GA, RA, SA]
Rodada 001 | Execucao 2 | Itens: [FA, TA, JA, ZA]
Rodada 001 | Execucao 3 | Itens: [RA, ZA, XA, GA]
Rodada 002 | Execucao 1 | Itens: [LA, MA, DA, NA]
Rodada 002 | Execucao 2 | Itens: [NA, DA, BA, JA]
Rodada 002 | Execucao 3 | Itens: [BA, TA, A, PA]
Rodada 003 | Execucao 1 | Itens: [JA, TA, LA, FA]
Rodada 003 | Execucao 2 | Itens: [PA, CA, BA, LA]
Rodada 003 | Execucao 3 | Itens: [SA, RA, PA, ZA]
Rodada 004 | Execucao 1 | Itens: [MA, NA, JA, XA]
Rodada 004 | Execucao 2 | Itens: [FA, LA, JA, A]
Rodada 004 | Execucao 3 | Itens: [PA, ZA, MA, SA]
Rodada 005 | Execucao 1 | Itens: [JA, VA, BA, XA]
Rodada 005 | Execucao 2 | Itens: [A, TA, RA, CA]
Rodada 005 | Execucao 3 | Itens: [ZA, PA, JA, QUA]
Rodada 006 | Execucao 1 | Itens: [NA, VA, LA, MA]
Rodada 006 | Execucao 2 | Itens: [A, LA, RA, NA]
Rodada 006 | Execucao 3 | Itens: [MA, TA, ZA, BA]
Rodada 007 | Execucao 1 | Itens: [DA, A, QUA, LA]
Rodada 007 | Execucao 2 | Itens: [NA, RA, DA, PA]
Rodada 007 | Execucao 3 | Itens: [XA, QUA, BA, A]
Rodada 008 | Execucao 1 | Itens: [TA, ZA, QUA, FA]
Rodada 008 | Execucao 2 | Itens: [ZA, FA, SA, LA]
Rodada 008 | Execucao 3 | Itens: [FA, QUA, DA, A]
Rodada 009 | Execucao 1 | Itens: [MA, SA, LA, CA]
Rodada 009 | Execucao 2 | Itens: [RA, QUA, GA, A]
Rodada 009 | Execucao 3 | Itens: [QUA, A, SA, GA]
Rodada 010 | Execucao 1 | Itens: [SA, MA, XA, FA]
Rodada 010 | Execucao 2 | Itens: [RA, BA, JA, QUA]
Rodada 010 | Execucao 3 | Itens: [DA, ZA, MA, GA]
Rodada 011 | Execucao 1 | Itens: [DA, LA, CA, RA]
Rodada 011 | Execucao 2 | Itens: [A, NA, FA, SA]
Rodada 011 | Execucao 3 | Itens: [CA, MA, TA, VA]
Rodada 012 | Execucao 1 | Itens: [ZA, CA, PA, A]
Rodada 012 | Execucao 2 | Itens: [CA, TA, RA, ZA]
Rodada 012 | Execucao 3 | Itens: [XA, BA, QUA, ZA]
Rodada 013 | Execucao 1 | Itens: [SA, PA, XA, ZA]
Rodada 013 | Execucao 2 | Itens: [DA, QUA, JA, FA]
Rodada 013 | Execucao 3 | Itens: [LA, PA, GA, NA]
Rodada 014 | Execucao 1 | Itens: [FA, TA, NA, LA]
Rodada 014 | Execucao 2 | Itens: [SA, DA, GA, VA]
Rodada 014 | Execucao 3 | Itens: [QUA, GA, RA, LA]
Rodada 015 | Execucao 1 | Itens: [SA, XA, FA, DA]
